Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
SKIPTON,160,38,3,1,2,57,3,ST50PKT0YYCP,,
SKIPTON,160,39,6,2,3,60,4,ST50PKT0YYCQ,,
Slovenska Krajova,161,2,5,2,2,5,4,ST50PKT0YYD1,,
Slovenska Krajova,161,40,1,1,4,55,3,ST50PKT0YYD0,,
STELLAR DH,162,14,6,2,2,24,4,ST50PKT0YYDC,,
STELLAR DH,162,66,3,1,2,99,3,ST50PKT0YYDB,,
Stingray,163,22,1,1,2,31,3,ST50PKT0YYDN,,
Stingray,163,30,6,2,2,48,4,ST50PKT0YYDP,,
Stubby,164,1,4,2,1,4,4,ST50PKT0YYF0,,
Stubby,164,53,1,1,1,79,3,ST50PKT0YYDZ,,
Surpass 404CL,165,7,4,2,3,10,4,ST50PKT0YZB1,,
Surpass 404CL,165,25,2,1,1,38,3,ST50PKT0YZB0,,
SURPASS 600,166,5,6,2,1,12,4,ST50PKT0YYFB,,
SURPASS 600,166,6,3,1,2,9,3,ST50PKT0YYF9,,
Surpass 603CL,167,12,3,1,4,15,3,ST50PKT0YYFM,,
Surpass 603CL,167,62,4,2,2,94,4,ST50PKT0YYFN,,
SURPASS400-024DH,168,1,5,2,1,5,4,ST50PKT0YYFZ,,
SURPASS400-024DH,168,60,2,1,4,86,3,ST50PKT0YYFY,,
SV NIKLAS,169,21,6,2,1,36,4,ST50PKT0YYG9,,
SV NIKLAS,169,46,1,1,2,67,3,ST50PKT0YYG8,,
SWU Chinese 1,170,43,1,1,3,61,3,ST50PKT0YYGL,,
SWU Chinese 1,170,44,6,2,4,66,4,ST50PKT0YYGM,,
SWU Chinese 2,171,1,1,1,1,1,3,ST50PKT0YZBN,,
SWU Chinese 2,171,2,6,2,2,6,4,ST50PKT0YZBP,,
TANTAL,172,27,1,1,3,37,3,ST50PKT0YYGX,,
TANTAL,172,35,5,2,3,53,4,ST50PKT0YYGY,,
TAPIDOR DH,173,20,6,2,4,30,4,ST50PKT0YYH8,,
TAPIDOR DH,173,54,1,1,2,79,3,ST50PKT0YYH7,,
Tarcoola,174,14,5,2,2,23,4,ST50PKT0YZCB,,
Tarcoola,174,44,1,1,4,61,3,ST50PKT0YZC9,,
Tawriffic TT,175,10,5,2,2,17,4,ST50PKT0YYHX,,
Tawriffic TT,175,58,3,1,2,87,3,ST50PKT0YYHW,,
Temple,176,6,6,2,2,12,4,ST50PKT0YYJ7,,
Temple,176,50,1,1,2,73,3,ST50PKT0YYJ6,,
TI 10,177,31,5,2,3,47,4,ST50PKT0YYJK,,
TI 10,177,48,1,1,4,67,3,ST50PKT0YYJJ,,
TI1 PINNACLE,178,30,2,1,2,44,3,ST50PKT0YYJV,,
TI1 PINNACLE,178,58,5,2,2,89,4,ST50PKT0YYJW,,
Tina,179,29,3,1,1,45,3,ST50PKT0YYK5,,
Tina,179,68,5,2,4,101,4,ST50PKT0YYK6,,
Topas,180,12,4,2,4,16,4,ST50PKT0YYKJ,,
Topas,180,36,3,1,4,51,3,ST50PKT0YYKH,,
TOWER,181,5,5,2,1,11,4,ST50PKT0YYKV,,
TOWER,181,63,2,1,3,92,3,ST50PKT0YYKT,,
Tribune,182,3,2,1,3,2,3,ST50PKT0YYL4,,
Tribune,182,40,4,2,4,58,4,ST50PKT0YYL5,,
TRIBUTE,183,25,6,2,1,42,4,ST50PKT0YYLH,,
TRIBUTE,183,47,2,1,3,68,3,ST50PKT0YYLG,,
TRITON,184,34,1,1,2,49,3,ST50PKT0YZDL,,
TRITON,184,36,6,2,4,54,4,ST50PKT0YZDM,,
Trooper,185,11,1,1,3,13,3,ST50PKT0YYLS,,
Trooper,185,59,5,2,3,89,4,ST50PKT0YYLT,,
Verona,186,27,5,2,3,41,4,ST50PKT0YYM4,,
Verona,186,42,3,1,2,63,3,ST50PKT0YYM3,,
VIGE DH1,187,26,1,1,2,37,3,ST50PKT0YYMF,,
VIGE DH1,187,27,4,2,3,40,4,ST50PKT0YYMG,,
